,lifes,levelSize,speed,nbOfCollectibles,maxDistBTPlatform,Proc_miniPlatform,Proc_smallPlatform,Proc_mediumPlatform,Proc_hugePlatform,Proc_tunnelPlatform,Proc_stairPlatform,Proc_balcony,Proc_enemy,Proc_box,Proc_vase,Proc_coin,Proc_miniHouse,,,,,,
lvl_1,1,6000,35,2,30,10,10,10,10,0,0,0,0,0,0,30,0,,,,,,
lvl_2,1,7000,35,2,30,0,0,0,0,10,10,10,12,0,0,30,0,,,,,,
lvl_3,1,8000,35,2,30,10,10,10,10,10,10,10,12,0,0,30,0,,,,,,
lvl_4,1,9000,35,2,30,10,10,10,10,10,10,10,12,0,30,30,0,,,,,,
lvl_5,1,10000,35,2,30,10,10,10,10,10,10,10,14,30,0,30,0,,,,,,
lvl_6,1,11000,35,2,35,10,10,10,10,10,10,10,14,0,0,30,0,,,,,,
lvl_7,1,12000,35,2,40,10,10,10,10,10,10,10,14,7,10,30,30,,,,,,
lvl_8,1,13000,35,2,45,10,10,10,10,10,10,10,14,7,10,30,7,,,,,,
lvl_9,1,14000,35,2,50,10,10,10,10,10,10,10,14.1,7.1,10.1,30,7.1,,,,,,
lvl_10,1,15000,35,2,51,10,10,10,10,10,10,10,14.2,7.2,10.2,30,7.2,,,,,,
lvl_11,1,15500,35,2,52,10,10,10,10,10,10,10,14.3,7.3,10.3,30,7.3,,,,,,
lvl_12,1,16000,35,2,53,10,10,10,10,10,10,10,14.4,7.4,10.4,30,7.4,,,,,,
lvl_13,1,16500,35,2,54,10,10,10,10,10,10,10,14.5,7.5,10.5,30,7.5,,,,,,
lvl_14,1,17000,35,2,55,10,10,10,10,10,10,10,14.6,7.6,10.6,30,7.6,,,,,,
lvl_15,1,17500,35,2,56,10,10,10,10,10,10,10,14.7,7.7,10.7,30,7.7,,,,,,
lvl_16,1,18000,35,2,57,10,10,10,10,10,10,10,14.8,7.8,10.8,30,7.8,,,,,,
lvl_17,1,18500,35,2,58,10,10,10,10,10,10,10,14.9,7.9,10.9,30,7.9,,,,,,
lvl_18,1,19000,35,2,59,10,10,10,10,10,10,10,15,8,11,30,8,,,,,,
lvl_19,1,19500,35,2,60,10,10,10,10,10,10,10,15.1,8.1,11.1,30,8.1,,,,,,
lvl_20,1,20000,35,2,61,10,10,10,10,10,10,10,15.2,8.2,11.2,30,8.2,,,,,,
lvl_21,1,20500,40,2,62,10,10,10,10,10,10,10,15.3,8.3,11.3,30,8.3,,,,,,
lvl_22,1,21000,40,2,63,10,10,10,10,10,10,10,15.4,8.4,11.4,30,8.4,,,,,,
lvl_23,1,21500,40,2,64,10,10,10,10,10,10,10,15.5,8.5,11.5,30,8.5,,,,,,
lvl_24,1,22000,40,2,65,10,10,10,10,10,10,10,15.6,8.6,11.6,30,8.6,,,,,,
lvl_25,1,22500,40,2,66,10,10,10,10,10,10,10,15.7,8.7,11.7,30,8.7,,,,,,
lvl_26,1,23000,40,2,67,10,10,10,10,10,10,10,15.8,8.8,11.8,30,8.8,,,,,,
lvl_27,1,23500,40,2,68,10,10,10,10,10,10,10,15.9,8.9,11.9,30,8.9,,,,,,
lvl_28,1,24000,40,2,69,10,10,10,10,10,10,10,16,9,12,30,9,,,,,,
lvl_29,1,24500,40,2,70,10,10,10,10,10,10,10,16.1,9.1,12.1,30,9.1,,,,,,
lvl_30,1,25000,40,2,70.5,10,10,10,10,10,10,10,16.2,9.2,12.2,30,9.2,,,,,,
lvl_31,1,25500,45,2,71,10,10,10,10,10,10,10,16.3,9.3,12.3,30,9.3,,,,,,
lvl_32,1,26000,45,2,71.5,10,10,10,10,10,10,10,16.4,9.4,12.4,30,9.4,,,,,,
lvl_33,1,26500,45,2,72,10,10,10,10,10,10,10,16.5,9.5,12.5,30,9.5,,,,,,
lvl_34,1,27000,45,2,72.5,10,10,10,10,10,10,10,16.6,9.6,12.6,30,9.6,,,,,,
lvl_35,1,27500,45,2,73,10,10,10,10,10,10,10,16.7,9.7,12.7,30,9.7,,,,,,
lvl_36,1,28000,45,2,73.5,10,10,10,10,10,10,10,16.8,9.8,12.8,30,9.8,,,,,,
lvl_37,1,28500,45,2,74,10,10,10,10,10,10,10,16.9,9.9,12.9,30,9.9,,,,,,
lvl_38,1,29000,45,2,74.5,10,10,10,10,10,10,10,17,10,13,30,10,,,,,,
lvl_39,1,29500,45,2,75,10,10,10,10,10,10,10,17.1,10.1,13.1,30,10.1,,,,,,
lvl_40,1,30000,45,2,75.5,10,10,10,10,10,10,10,17.2,10.2,13.2,30,10.2,,,,,,
